"","app_name","category.x","price.x","rating.x","rating_count.x","size_bytes_Mb.x","player_age.x","version.x","source.x","category.y","price.y","rating.y","rating_count.y","size_bytes_Mb.y","player_age.y","version.y","source.y"
"306","USAA Mobile","Finance",0,4,19946,157,"4+","7.32.3","apple","Finance",0,4.5,"100997",33,"4+","8.44.2","google"
"307","Verizon Cloud","Productivity",0,4.5,6482,100,"4+","17.2.4","apple","Productivity",0,4.3,"185632",NA,"4+",NA,"google"
"308","Vikings: an Archer's Journey","Games",2.99,4.5,94,125,"9+","1.3","apple","Games",0,4.5,"10256",39,"4+","2.1.0","google"
"309","VSCO","Photo and Video",0,3.5,11174,94,"12+","27.0","apple","Photo and Video",0,4.4,"753115",NA,"4+","71","google"
"310","War Robots","Games",0,4.5,97122,573,"12+","2.9.0","apple","Games",0,4.6,"3073251",33,"9+","4.1.1","google"
"311","WatchESPN","Sports",0,4,159735,32,"4+","1.9.9","apple","Sports",0,4.1,"288809",6.6,"4+","2.5.1","google"
"312","WEB.DE Mail","Productivity",0,4,168,97,"4+","6.2","apple","Utilities",0,4.3,"226541",NA,"4+",NA,"google"
"313","WeChat","Social Networking",0,4.5,34584,174,"12+","6.5.8","apple","Utilities",0,4.2,"5387333",NA,"4+",NA,"google"
"314","Wells Fargo Mobile","Finance",0,3,43064,55,"4+","3.55","apple","Finance",0,4.4,"250706",37,"4+","6.8.0.109","google"
"315","WGT Golf Game by Topgolf","Games",0,4.5,53285,239,"17+","1.31.2","apple","Sports",0,4.3,"148083",57,"4+","1.42.2","google"
"316","Whataburger","Food and Drink",0,3,197,127,"4+","1.3.1","apple","Food and Drink",0,4.5,"5093",56,"4+","1.9.0","google"
"317","WhatsApp Messenger","Social Networking",0,4.5,287589,129,"4+","2.17.22","apple","Utilities",0,4.4,"69119316",NA,"4+",NA,"google"
"318","Where's My Water?","Games",1.99,4.5,131656,87,"4+","1.14.1.58","apple","Education",1.99,4.7,"188740",69,"4+","1.16.0","google"
"319","Wish - Shopping Made Fun","Shopping",0,4.5,141960,46,"12+","3.20.6","apple","Shopping",0,4.5,"6210998",15,"4+","4.20.5","google"
"320","Wishbone - Compare Anything","Social Networking",0,4.5,20649,112,"12+","5.17.4","apple","Social Networking",0,4.3,"51569",26,"12+","5.4.7","google"
"321","WWE","Entertainment",0,4,7553,84,"12+","3.16.0","apple","Entertainment",0,4.5,"736864",20,"12+","3.17.2","google"
"322","Xbox","Entertainment",0,4.5,72187,107,"12+","1705.522.332","apple","Education",0,4.3,"556659",46,"4+","1805.0618.1637","google"
"323","XCOM®: Enemy Within","Games",9.99,4,2855,3346,"17+","1.1.0","apple","Education",9.99,4.2,"13752",21,"17+","1.7.0","google"
"324","Yahoo Weather","Weather",0,4.5,112603,117,"4+","1.11.3","apple","Weather",0,4.4,"1312037",NA,"4+",NA,"google"
"325","YouNow: Live Stream Video Chat","Social Networking",0,3.5,12079,87,"12+","13.25.0","apple","Social Networking",0,4.1,"309872",85,"12+","14.0.13","google"
"326","YouTube Kids","Entertainment",0,4.5,28560,114,"4+","2.19.13","apple","Entertainment",0,4.5,"470089",NA,"4+","3.43.3","google"
"327","Zombie Catchers","Games",0,4.5,16805,99,"12+","1.17","apple","Games",0,4.7,"990491",75,"4+","1.0.27","google"
"328","Zombie Tsunami","Games",0,4.5,31311,111,"4+","3.6.3","apple","Games",0,4.4,"4920817",NA,"9+",NA,"google"
